name,domain,da,pa_home,site_url,image_url,kind,recipes_on_punchfork,in_domains,moz_http
Ministry of Curry,ministryofcurry.com,44.0,51.0,https://ministryofcurry.com/,https://fastimg1.global.ssl.fastly.net/pub/42/c7/42c71a762d13e62466d9276f2e7183f8_250x250.jpg,blogger,463,no,200
Bake It With Love,bakeitwithlove.com,43.0,52.0,https://bakeitwithlove.com/,https://fastimg1.global.ssl.fastly.net/pub/88/fb/88fba12f809236bc9f559079de33e1a6_250x250.jpg,blogger,2160,no,200
Create Mindfully,createmindfully.com,43.0,49.0,https://createmindfully.com/,https://fastimg1.global.ssl.fastly.net/pub/b4/95/b495c33d38bb8a3d49012b4a562aaca0_250x250.jpg,blogger,715,no,200
Southern Kissed,southernkissed.com,43.0,48.0,https://www.southernkissed.com/,https://fastimg1.global.ssl.fastly.net/pub/4d/70/4d70c8043e87c2b54830bfb22da5c818_250x250.jpg,blogger,449,no,200
Of Batter and Dough,ofbatteranddough.com,43.0,48.0,https://ofbatteranddough.com/,https://fastimg1.global.ssl.fastly.net/pub/d0/e0/d0e0d2b0a018150514c52c9c85ea7cb3_250x250.jpg,blogger,314,no,200
Little House Big Alaska,littlehousebigalaska.com,42.0,47.0,https://littlehousebigalaska.com/,https://fastimg1.global.ssl.fastly.net/pub/ef/0d/ef0d10284ccdbdfbe53b64122f61131c_250x250.jpg,blogger,688,no,3
Art From My Table,artfrommytable.com,42.0,45.0,https://www.artfrommytable.com/,https://fastimg1.global.ssl.fastly.net/pub/7a/34/7a345d45c715227e6a027ae0992b6915_250x250.jpg,blogger,234,no,200
Everyday Family Cooking,everydayfamilycooking.com,41.0,45.0,https://www.everydayfamilycooking.com/,https://fastimg1.global.ssl.fastly.net/pub/d5/eb/d5eb9ed61bb6b22fddd8426f204338bd_250x250.jpg,blogger,873,no,200
The Cookin' Chicks,thecookinchicks.com,41.0,47.0,https://thecookinchicks.com/,https://fastimg1.global.ssl.fastly.net/pub/18/52/1852be15bc44487280aac746b4a7a60c_250x250.jpg,blogger,723,no,200
Kristine in Between,kristineinbetween.com,41.0,43.0,https://kristineinbetween.com/,https://fastimg1.global.ssl.fastly.net/pub/26/0c/260c49a492f55beae1a88e7638923a52_250x250.jpg,blogger,239,no,200
All Ways Delicious,allwaysdelicious.com,40.0,47.0,https://allwaysdelicious.com/,https://fastimg1.global.ssl.fastly.net/pub/34/b3/34b304dfec887b4adcb1643ad4c485a8_250x250.jpg,blogger,406,no,3
A Wicked Whisk,awickedwhisk.com,40.0,40.0,https://www.awickedwhisk.com/,https://fastimg1.global.ssl.fastly.net/pub/98/41/9841f180c0ec73d03a53ee1f5ceb6b88_250x250.jpg,blogger,391,no,200
A Well-Seasoned Kitchen,seasonedkitchen.com,40.0,41.0,https://www.seasonedkitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/03/f3/03f30dfd8b5e12c68edd9e8145421f93_250x250.jpg,blogger,390,no,200
Lowcarb-Nocarb,lowcarb-nocarb.com,38.0,46.0,https://www.lowcarb-nocarb.com/,https://fastimg1.global.ssl.fastly.net/pub/06/c3/06c342d591cff01354337ad7f5e634eb_250x250.jpg,blogger,395,no,200
Pups with Chopsticks,pupswithchopsticks.com,38.0,48.0,https://pupswithchopsticks.com/,https://fastimg1.global.ssl.fastly.net/pub/bb/c1/bbc17d634ae5d49eea93e0971531db09_250x250.jpg,blogger,191,no,200
